2025/08/06 08:02:04 JST,DCX,QZSS-2,8,テスト - （未使用）
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:02:43 JST,DC Report,QZSS-2,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:02:44 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:02:55 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日7時0分

氾濫警戒情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:02:56 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日7時0分

氾濫警戒情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:03:03 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:03:04 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:03:11 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日7時0分

氾濫警戒情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:03:12 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日7時0分

氾濫警戒情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:03:23 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日7時0分

氾濫警戒情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:03:24 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日7時0分

氾濫警戒情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:03:31 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:03:32 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:03:36 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:03:36 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:03:42 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:03:46 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:03:59 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:04:00 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:04:04 JST,DC Report,QZSS-2,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/21 08:04:08 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/21 08:04:21 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:04:22 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:04:26 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:04:41 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:04:42 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:04:46 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:06:11 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:06:12 JST,DC Report,QZSS-2,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:06:16 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:06:35 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:06:36 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:06:36 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:07:47 JST,DC Report,QZSS-2,8,災危通報(台風)(発表)

発表時刻：8月22日7時45分

台風：12号
基点時刻：22日7時0分 (実況) 0時間後
大きさ：なし
強さ：なし
緯度・経度：北緯32度5分0秒 東経131度40分0秒
中心気圧(hPa)：1006
最大風速(m/s)：18
最大瞬間風速(m/s)：25

2025/08/21 08:08:19 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/21 08:08:20 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:08:20 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:12:48 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:12:48 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:14:05 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:14:06 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:14:13 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:14:39 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:14:40 JST,DC Report,QZSS-2,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:14:40 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:17:24 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:17:26 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:17:41 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:19:57 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:21:12 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:21:29 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:22:55 JST,DC Report,QZSS-2,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:23:57 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:23:58 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:34:07 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/21 08:35:06 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上風警報：瀬戸内海
海上風警報：四国沖南部
海上風警報：奄美海域
海上強風警報：四国沖北部
海上強風警報：長崎西海上
海上強風警報：日向灘
海上強風警報：鹿児島海域

2025/08/21 08:35:08 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/21 08:42:12 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/21 08:42:12 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:44:59 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/21 08:54:25 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:54:26 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:56:41 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/21 08:56:42 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:03:55 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 09:05:30 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 09:14:18 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/22 09:15:05 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:15:06 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/22 09:15:10 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/22 09:15:59 JST,DC Report,QZSS-2,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 09:16:00 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/22 09:16:04 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/22 09:21:18 JST,DC Report,QZSS-2,8,災危通報(震源)(発表)
22日7時34分ころ、地震がありました。
この地震による津波の心配はありません。

発表時刻：8月22日7時37分

震央地名：宮城県沖
緯度・経度：北緯38度42分0秒 東経142度12分0秒
深さ(km)：40
マグニチュード：5.4

2025/08/22 09:22:21 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/22 09:22:22 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:27:24 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:33:12 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:33:14 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:44:29 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:45:43 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 09:52:07 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：サハリン東方海上
海上濃霧警報：サハリン西方海上
海上濃霧警報：網走沖
海上濃霧警報：宗谷海峡
海上濃霧警報：北海道西方海上
海上濃霧警報：北海道東方海上
海上濃霧警報：釧路沖
海上濃霧警報：三陸沖西部

2025/08/22 09:54:15 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 09:54:16 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 09:54:20 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 09:59:21 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 09:59:22 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:00:45 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:01:43 JST,DC Report,QZSS-7,8,災危通報(緊急地震速報)(発表)
強い揺れに警戒してください。

発表時刻：8月22日10時0分

震央地名：日向灘
地震発生時刻：22日10時0分
深さ(km)：10
マグニチュード：7.2
震度(下限)：震度6弱
震度(上限)：～程度以上
長周期地震動階級(下限)：長周期地震動階級2
長周期地震動階級(上限)：長周期地震動階級2
島根
岡山
広島
山口
香川
愛媛
高知
福岡
佐賀
長崎
熊本
大分
宮崎
鹿児島
中国
四国
九州

2025/08/22 10:01:44 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 10:01:48 JST,DC Report,QZSS-7,8,災危通報(緊急地震速報)(発表)
強い揺れに警戒してください。

発表時刻：8月22日10時0分

震央地名：日向灘
地震発生時刻：22日10時0分
深さ(km)：10
マグニチュード：7.2
震度(下限)：震度6弱
震度(上限)：～程度以上
長周期地震動階級(下限)：長周期地震動階級2
長周期地震動階級(上限)：長周期地震動階級2
島根
岡山
広島
山口
香川
愛媛
高知
福岡
佐賀
長崎
熊本
大分
宮崎
鹿児島
中国
四国
九州

2025/08/22 10:03:14 JST,DC Report,QZSS-7,8,災危通報(緊急地震速報)(発表)
強い揺れに警戒してください。

発表時刻：8月22日10時0分

震央地名：日向灘
地震発生時刻：22日10時0分
深さ(km)：10
マグニチュード：7.2
震度(下限)：震度6弱
震度(上限)：～程度以上
長周期地震動階級(下限)：長周期地震動階級2
長周期地震動階級(上限)：長周期地震動階級2
島根
岡山
広島
山口
香川
愛媛
高知
福岡
佐賀
長崎
熊本
大分
宮崎
鹿児島
中国
四国
九州

2025/08/22 10:03:23 JST,DC Report,QZSS-7,8,災危通報(緊急地震速報)(発表)
強い揺れに警戒してください。

発表時刻：8月22日10時0分

震央地名：日向灘
地震発生時刻：22日10時0分
深さ(km)：10
マグニチュード：7.2
震度(下限)：震度6弱
震度(上限)：～程度以上
長周期地震動階級(下限)：長周期地震動階級2
長周期地震動階級(上限)：長周期地震動階級2
島根
岡山
広島
山口
香川
愛媛
高知
福岡
佐賀
長崎
熊本
大分
宮崎
鹿児島
中国
四国
九州

2025/08/22 10:03:24 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 10:03:28 JST,DC Report,QZSS-7,8,災危通報(緊急地震速報)(発表)
強い揺れに警戒してください。

発表時刻：8月22日10時0分

震央地名：日向灘
地震発生時刻：22日10時0分
深さ(km)：10
マグニチュード：7.2
震度(下限)：震度6弱
震度(上限)：～程度以上
長周期地震動階級(下限)：長周期地震動階級2
長周期地震動階級(上限)：長周期地震動階級2
島根
岡山
広島
山口
香川
愛媛
高知
福岡
佐賀
長崎
熊本
大分
宮崎
鹿児島
中国
四国
九州

2025/08/22 10:06:25 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:06:26 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:08:01 JST,DC Report,QZSS-7,8,災危通報(震度)(発表)
22日10時5分ころ、地震による強い揺れを感じました。

発表時刻：8月22日10時5分

震度5強：大分県
震度5強：宮崎県
震度5弱：高知県
震度5弱：熊本県
震度4：山口県
震度4：愛媛県
震度4：福岡県
震度4：佐賀県
震度4：鹿児島県

2025/08/22 10:12:45 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:17:09 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:17:10 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:17:14 JST,DCX,QZSS-2,8,テスト - （未使用）
2025/08/22 10:21:15 JST,DC Report,QZSS-7,8,災危通報(津波)(発表)
津波警報を発表しました。
＜津波警報＞
　津波による被害が発生します。
　沿岸部や川沿いにいる人はただちに高台や避難ビルなど安全な場所へ避難してください。
　津波は繰り返し襲ってきます。警報が解除されるまで安全な場所から離れないでください。
＜津波注意報＞
　海の中や海岸付近は危険です。
　海の中にいる人はただちに海から上がって、海岸から離れてください。
　潮の流れが速い状態が続きますので、注意報が解除されるまで海に入ったり海岸に近づいたりしないようにしてください。
＜津波予報(若干の海面変動)＞
　若干の海面変動が予想されますが、被害の心配はありません。

発表時刻：8月22日10時5分

津波到達予想時刻：10時5分
津波の高さ：3m
愛媛県宇和海沿岸

津波到達予想時刻：10時5分
津波の高さ：3m
高知県

津波到達予想時刻：10時5分
津波の高さ：3m
宮崎県


2025/08/22 10:21:16 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 10:21:20 JST,DC Report,QZSS-7,8,災危通報(震源)(発表)
22日10時5分ころ、地震がありました。
震源の近傍で津波発生の可能性があります。

発表時刻：8月22日10時5分

震央地名：日向灘
緯度・経度：北緯32度42分0秒 東経132度6分0秒
深さ(km)：40
マグニチュード：6.4

2025/08/22 10:23:42 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 10:23:44 JST,DC Report,QZSS-7,8,災危通報(震度)(発表)
22日10時5分ころ、地震による強い揺れを感じました。

発表時刻：8月22日10時5分

震度5強：大分県
震度5強：宮崎県
震度5弱：高知県
震度5弱：熊本県
震度4：山口県
震度4：愛媛県
震度4：福岡県
震度4：佐賀県
震度4：鹿児島県

2025/08/22 10:24:45 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:25:18 JST,DC Report,QZSS-7,8,災危通報(台風)(発表)

発表時刻：8月22日9時45分

台風：12号
基点時刻：22日9時0分 (実況) 0時間後
大きさ：なし
強さ：なし
緯度・経度：北緯32度0分0秒 東経132度0分0秒
中心気圧(hPa)：1008
最大風速(m/s)：不明
最大瞬間風速(m/s)：不明

2025/08/22 10:25:20 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 10:27:06 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上濃霧警報：関東海域北部
海上濃霧警報：沿海州南部沖
海上濃霧警報：日本海北西部
海上濃霧警報：山陰沖西部
海上濃霧警報：対馬海峡
海上風警報：網走沖
海上風警報：宗谷海峡
海上風警報：北海道西方海上

2025/08/22 10:27:08 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 10:27:12 JST,DC Report,QZSS-7,8,災危通報(津波)(発表)
津波警報を発表しました。
＜津波警報＞
　津波による被害が発生します。
　沿岸部や川沿いにいる人はただちに高台や避難ビルなど安全な場所へ避難してください。
　津波は繰り返し襲ってきます。警報が解除されるまで安全な場所から離れないでください。
＜津波注意報＞
　海の中や海岸付近は危険です。
　海の中にいる人はただちに海から上がって、海岸から離れてください。
　潮の流れが速い状態が続きますので、注意報が解除されるまで海に入ったり海岸に近づいたりしないようにしてください。
＜津波予報(若干の海面変動)＞
　若干の海面変動が予想されますが、被害の心配はありません。

発表時刻：8月22日10時25分

津波到達予想時刻：10時25分
津波の高さ：3m
愛媛県宇和海沿岸

津波到達予想時刻：10時25分
津波の高さ：3m
高知県

津波到達予想時刻：10時25分
津波の高さ：3m
大分県豊後水道沿岸

津波到達予想時刻：10時25分
津波の高さ：3m
宮崎県


2025/08/22 10:27:24 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:27:26 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:27:54 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 10:32:33 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:32:34 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:32:38 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 10:33:17 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:33:45 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:39:47 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 10:39:48 JST,DC Report,QZSS-7,8,災危通報(南海トラフ地震)(発表)(24/27)

発表時刻：8月22日10時35分

地震関連情報：
かけ等に応じ

2025/08/22 10:39:52 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:39:58 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:40:02 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:41:13 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 10:45:12 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:45:14 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:51:41 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:52:09 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:52:10 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:52:14 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:59:12 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 10:59:30 JST,DC Report,QZSS-7,8,災危通報(海上)(発表)

発表時刻：8月22日5時35分

海上風警報：瀬戸内海
海上風警報：四国沖南部
海上風警報：奄美海域
海上強風警報：四国沖北部
海上強風警報：長崎西海上
海上強風警報：日向灘
海上強風警報：鹿児島海域

2025/08/22 10:59:32 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日8時5分

氾濫危険情報：万之瀬川・加世田川(鹿児島県)

2025/08/22 10:59:36 JST,DC Report,QZSS-7,8,災危通報(南海トラフ地震)(発表)(4/27)

発表時刻：8月22日10時35分

地震関連情報：
は異なるゆっ

2025/08/22 11:01:00 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:16:45 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:28:13 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:28:14 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:28:24 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:28:26 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:28:30 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:33:42 JST,DC Report,QZSS-7,8,災危通報(気象)(発表)

発表時刻：8月22日6時15分

土砂災害警戒情報：鹿児島県

2025/08/22 11:35:36 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:35:38 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:36:15 JST,DC Report,QZSS-7,8,災危通報(洪水)(発表)

発表時刻：8月22日11時35分

氾濫警戒情報：鬼怒川(栃木県・茨城県)

2025/08/22 11:38:12 JST,DCX,QZSS-7,8,テスト - （未使用）
2025/08/22 11:38:14 JST,DCX,QZSS-7,8,テスト - （未使用）
